council,region,tribunal,year,pcns_issued,appeals_received,appeals_decided,allowed_pct,not_contested_pct,source,page
Hackney,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,116745,443,341,30.5,11.1,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/hackney
Hammersmith and Fulham,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,145125,409,303,43.6,32,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/hammersmith-and-fulham
Haringey,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,192290,925,732,53.6,37.2,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/haringey
Harrow,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,118055,547,485,47,24.9,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/harrow
Havering,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,101201,594,620,56.1,33.7,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/havering
Hillingdon,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,70742,180,172,83.1,73.8,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/hillingdon
Hounslow,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,107890,449,362,66,38.4,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/hounslow
Islington,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,248027,1275,1102,35.7,20.8,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/islington
Kensington and Chelsea,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,241099,343,247,49,41.7,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/kensington-and-chelsea
Kingston upon Thames,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,73126,250,226,40.7,15,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/kingston-upon-thames
Lambeth,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,179588,1234,1148,57.4,37.8,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/lambeth
Lewisham,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,60393,386,328,57.3,41.2,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/lewisham
Merton,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,93800,315,305,56.1,40,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/merton
Newham,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,267318,1982,1607,50.4,20,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/newham
Redbridge,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,160209,2060,1804,70.1,39.9,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/redbridge
Richmond upon Thames,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,118876,195,188,45.2,21.3,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/richmond-upon-thames
Southwark,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,181723,763,549,29.3,11.5,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/southwark
Sutton,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,45847,65,42,26.2,14.3,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/sutton
Tower Hamlets,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,130390,472,438,32.9,13.2,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/tower-hamlets
Waltham Forest,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,130633,686,586,45.7,19.1,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/waltham-forest
Wandsworth,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,132283,340,379,31.9,12.4,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/wandsworth
Westminster,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,516562,1232,933,66.1,56.2,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/westminster
Adur District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/adur-district-council
Amber Valley Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/amber-valley-borough-council
Arun District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/arun-district-council
Ashfield District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/ashfield-district-council
Ashford Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/ashford-borough-council
Babergh District Council (with Ipswich Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/babergh-district-council-with-ipswich-borough-council
Babergh District Council (with West Suffolk Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/babergh-district-council-with-west-suffolk-council
Barnsley Metropolitan Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/barnsley-metropolitan-borough-council
Basildon Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/basildon-borough-council
Basingstoke and Deane Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/basingstoke-and-deane-borough-council
Bassetlaw District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/bassetlaw-district-council
Bath and North East Somerset Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/bath-and-north-east-somerset-council
Bedford Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/bedford-borough-council
Birmingham City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/birmingham-city-council
Blaby District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/blaby-district-council
Blackburn with Darwen Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/blackburn-with-darwen-borough-council
Blackpool Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/blackpool-council
Blaenau Gwent County Borough Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/blaenau-gwent-county-borough-council
Bolsover District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/bolsover-district-council
Bolton Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/bolton-council
Borough of Telford and Wrekin Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/borough-of-telford-and-wrekin-council
Boston Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/boston-borough-council
"Bournemouth, Christchurch and Poole (BCP)",England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/bournemouth-christchurch-and-poole-bcp
Bracknell Forest Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/bracknell-forest-borough-council
Braintree District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/braintree-district-council
Breckland Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/breckland-council
Brentwood Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/brentwood-borough-council
Bridgend County Borough Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/bridgend-county-borough-council
Brighton and Hove City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/brighton-and-hove-city-council
Bristol City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/bristol-city-council
Bromsgrove District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/bromsgrove-district-council
Broxbourne Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/broxbourne-borough-council
Broxtowe Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/broxtowe-borough-council
Buckinghamshire Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/buckinghamshire-council
Burnley Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/burnley-borough-council
Bury Metropolitan Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/bury-metropolitan-borough-council
Caerphilly County Borough Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/caerphilly-county-borough-council
Calderdale Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/calderdale-borough-council
Cambridge City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/cambridge-city-council
Cambridgeshire County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/cambridgeshire-county-council
Cannock Chase District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/cannock-chase-district-council
Canterbury City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/canterbury-city-council
Cardiff Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/cardiff-council
Carmarthenshire County Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/carmarthenshire-county-council
Castle Point Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/castle-point-borough-council
Central Bedfordshire Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/central-bedfordshire-council
Ceredigion County Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/ceredigion-county-council
Charnwood Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/charnwood-borough-council
Chelmsford City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/chelmsford-city-council
Cheltenham Borough Council (Off Street),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/cheltenham-borough-council-off-street
Cheltenham Borough Council (On Street),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/cheltenham-borough-council-on-street
Cheshire East Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/cheshire-east-council
Cheshire West and Chester Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/cheshire-west-and-chester-council
Chesterfield Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/chesterfield-borough-council
Chichester District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/chichester-district-council
Chorley Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/chorley-borough-council
City of Bradford Metropolitan District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/city-of-bradford-metropolitan-district-council
City of Doncaster Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/city-of-doncaster-council
City of Lincoln Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/city-of-lincoln-council
City of York Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/city-of-york-council
Colchester City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/colchester-city-council
Conwy County Borough Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/conwy-county-borough-council
Cornwall Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/cornwall-council
Cotswold District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/cotswold-district-council
Coventry City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/coventry-city-council
Crawley Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/crawley-borough-council
Cumberland Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/cumberland-council
Dacorum Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/dacorum-borough-council
Darlington Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/darlington-borough-council
Dartford Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/dartford-borough-council
Denbighshire County Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/denbighshire-county-council
Derby City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/derby-city-council
Derbyshire County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/derbyshire-county-council
Derbyshire Dales District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/derbyshire-dales-district-council
Devon County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/devon-county-council
Dorset Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/dorset-council
Dover District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/dover-district-council
Dudley Metropolitan Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/dudley-metropolitan-borough-council
Durham County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/durham-county-council
East Devon District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/east-devon-district-council
East Hampshire District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/east-hampshire-district-council
East Hertfordshire District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/east-hertfordshire-district-council
East Lindsey District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/east-lindsey-district-council
East Riding of Yorkshire Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/east-riding-of-yorkshire-council
East Staffordshire Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/east-staffordshire-borough-council
East Suffolk Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/east-suffolk-council
East Sussex County Council (Eastbourne),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/east-sussex-county-council-eastbourne
East Sussex County Council (Hastings),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/east-sussex-county-council-hastings
East Sussex County Council (Lewes),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/east-sussex-county-council-lewes
East Sussex County Council (Rother),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/east-sussex-county-council-rother
Eastleigh Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/eastleigh-borough-council
Elmbridge Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/elmbridge-borough-council
Epping Forest District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/epping-forest-district-council
Epsom and Ewell Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/epsom-and-ewell-borough-council
Erewash Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/erewash-borough-council
Essex County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/essex-county-council
Exeter City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/exeter-city-council
Fareham Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/fareham-borough-council
Flintshire County Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/flintshire-county-council
Folkestone and Hythe District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/folkestone-and-hythe-district-council
Forest of Dean District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/forest-of-dean-district-council
Fylde Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/fylde-borough-council
Gateshead Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/gateshead-council
Gedling Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/gedling-borough-council
Gloucester City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/gloucester-city-council
Gloucestershire County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/gloucestershire-county-council
