slug,name,kind,regime,nation,appeal_body,appeal_url,official_policy_url,amount_note,deadline_note,stages_note,instrument_note,source,page
west-midlands-railway,West Midlands Railway,toc,national,england,appeal-service,https://www.appealservice.co.uk,https://www.westmidlandsrailway.co.uk/tickets-discounts/penalty-fares,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","West Midlands Railway, ""Penalty fares"" (live host bot-walled; archived copy of 18 June 2026); Appeal Service (ITAL Group Ltd); The Railways (Penalty Fares) Regulations 2018 (SI 2018/366)",https://www.catoappeals.com/penalty-fares/west-midlands-railway
london-northwestern-railway,London Northwestern Railway,toc,national,england,appeal-service,https://www.appealservice.co.uk,https://www.londonnorthwesternrailway.co.uk/tickets-discounts/penalty-fares,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","London Northwestern Railway, ""Penalty fares"" (live host bot-walled; archived copy of 31 August 2026); Appeal Service (ITAL Group Ltd); The Railways (Penalty Fares) Regulations 2018 (SI 2018/366)",https://www.catoappeals.com/penalty-fares/london-northwestern-railway
transport-for-wales,Transport for Wales,toc,national,wales,penalty-services,https://www.penaltyservices.co.uk/app/,https://tfw.wales/ways-to-travel/rail/travel-information/penalty-fares,"£20 or twice the full single fare, whichever is the greater (reg 9(1)) - the unamended amount, which still applies in Wales, with NO early-payment discount: the £50 tier is England-only. On the Shrewsbury to Birmingham International corridor TfW itself applies the £100/£50 England amounts.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable at all (reg 16(11)) - the England rule keeping the single fare payable does not apply in Wales.,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366). The 2022 amendment raised the amounts in respect of England only, so reg 9(1) still sets the amount in Wales - there is no Welsh amending instrument.","Transport for Wales, ""Penalty fares""; Penalty Services Ltd (portal and published guidance); The Railways (Penalty Fares) Regulations 2018 (SI 2018/366)",https://www.catoappeals.com/penalty-fares/transport-for-wales
tyne-and-wear-metro,Tyne and Wear Metro,tram,national,england,penalty-services,https://www.penaltyservices.co.uk/app/,https://travelnortheast.uk/ways-to-travel/metro/information/metro-penalty-fares/,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","Nexus, ""Metro penalty fares""; Penalty Services Ltd (portal and published guidance); The Railways (Penalty Fares) Regulations 2018 (SI 2018/366)",https://www.catoappeals.com/penalty-fares/tyne-and-wear-metro
london-underground,London Underground,tfl-mode,tfl,england,appeal-service,https://www.ircas.co.uk,https://tfl.gov.uk/fares/penalty-fares-and-how-to-pay-them,"£100 on all six TfL modes, reduced to £50 if paid within 21 days of the notice being issued. After a failed stage-one appeal the £50 window re-opens for 21 days from the rejection letter, then reverts to £100.",Appeal at stage one within 21 days beginning the day after the DATE OF TRAVEL - not the notice date; stages two and three within 14 days of the date of the previous rejection letter. No decision deadline is published for any stage.,"Three policy stages, none of the first two independent of TfL: stage one is decided by the Independent Appeals Service (IAS/IRCAS), a contractor TfL says considers appeals on its behalf in accordance with TfL guidelines; stage two by the Appeals and Prosecutions Team in TfL's own Security, Policing and Enforcement directorate; stage three by the Independent Appeals Panel - appointed by TfL, required by the policy to work within TfL's regulations, policy and processes, and whose decision TfL states binds it.","Greater London Authority Act 1999, s.245 and Schedule 17 (as amended by the Transport for London Act 2008), administered under TfL's Penalty Fare Appeals Policy, version 11 (November 2025) - the policy is TfL's own document, not legislation.","TfL, ""Penalty fares and how to pay them""; TfL Penalty Fare Appeals Policy, version 11 (November 2025); Greater London Authority Act 1999, Schedule 17",https://www.catoappeals.com/penalty-fares/london-underground
london-buses,London Buses,tfl-mode,tfl,england,appeal-service,https://www.ircas.co.uk,https://tfl.gov.uk/fares/penalty-fares-and-how-to-pay-them,"£100 on all six TfL modes, reduced to £50 if paid within 21 days of the notice being issued. After a failed stage-one appeal the £50 window re-opens for 21 days from the rejection letter, then reverts to £100.",Appeal at stage one within 21 days beginning the day after the DATE OF TRAVEL - not the notice date; stages two and three within 14 days of the date of the previous rejection letter. No decision deadline is published for any stage.,"Three policy stages, none of the first two independent of TfL: stage one is decided by the Independent Appeals Service (IAS/IRCAS), a contractor TfL says considers appeals on its behalf in accordance with TfL guidelines; stage two by the Appeals and Prosecutions Team in TfL's own Security, Policing and Enforcement directorate; stage three by the Independent Appeals Panel - appointed by TfL, required by the policy to work within TfL's regulations, policy and processes, and whose decision TfL states binds it.","Greater London Authority Act 1999, s.245 and Schedule 17 (as amended by the Transport for London Act 2008), administered under TfL's Penalty Fare Appeals Policy, version 11 (November 2025) - the policy is TfL's own document, not legislation.","TfL, ""Penalty fares and how to pay them""; TfL Penalty Fare Appeals Policy, version 11 (November 2025); Greater London Authority Act 1999, Schedule 17",https://www.catoappeals.com/penalty-fares/london-buses
london-overground,London Overground,tfl-mode,tfl,england,appeal-service,https://www.ircas.co.uk,https://tfl.gov.uk/fares/penalty-fares-and-how-to-pay-them,"£100 on all six TfL modes, reduced to £50 if paid within 21 days of the notice being issued. After a failed stage-one appeal the £50 window re-opens for 21 days from the rejection letter, then reverts to £100.",Appeal at stage one within 21 days beginning the day after the DATE OF TRAVEL - not the notice date; stages two and three within 14 days of the date of the previous rejection letter. No decision deadline is published for any stage.,"Three policy stages, none of the first two independent of TfL: stage one is decided by the Independent Appeals Service (IAS/IRCAS), a contractor TfL says considers appeals on its behalf in accordance with TfL guidelines; stage two by the Appeals and Prosecutions Team in TfL's own Security, Policing and Enforcement directorate; stage three by the Independent Appeals Panel - appointed by TfL, required by the policy to work within TfL's regulations, policy and processes, and whose decision TfL states binds it.","Greater London Authority Act 1999, s.245 and Schedule 17 (as amended by the Transport for London Act 2008), administered under TfL's Penalty Fare Appeals Policy, version 11 (November 2025) - the policy is TfL's own document, not legislation.","TfL, ""Penalty fares and how to pay them""; TfL Penalty Fare Appeals Policy, version 11 (November 2025); Greater London Authority Act 1999, Schedule 17",https://www.catoappeals.com/penalty-fares/london-overground
elizabeth-line,Elizabeth line,tfl-mode,tfl,england,appeal-service,https://www.ircas.co.uk,https://tfl.gov.uk/fares/penalty-fares-and-how-to-pay-them,"£100 on all six TfL modes, reduced to £50 if paid within 21 days of the notice being issued. After a failed stage-one appeal the £50 window re-opens for 21 days from the rejection letter, then reverts to £100.",Appeal at stage one within 21 days beginning the day after the DATE OF TRAVEL - not the notice date; stages two and three within 14 days of the date of the previous rejection letter. No decision deadline is published for any stage.,"Three policy stages, none of the first two independent of TfL: stage one is decided by the Independent Appeals Service (IAS/IRCAS), a contractor TfL says considers appeals on its behalf in accordance with TfL guidelines; stage two by the Appeals and Prosecutions Team in TfL's own Security, Policing and Enforcement directorate; stage three by the Independent Appeals Panel - appointed by TfL, required by the policy to work within TfL's regulations, policy and processes, and whose decision TfL states binds it.","Greater London Authority Act 1999, s.245 and Schedule 17 (as amended by the Transport for London Act 2008), administered under TfL's Penalty Fare Appeals Policy, version 11 (November 2025) - the policy is TfL's own document, not legislation.","TfL, ""Penalty fares and how to pay them""; TfL Penalty Fare Appeals Policy, version 11 (November 2025); Greater London Authority Act 1999, Schedule 17",https://www.catoappeals.com/penalty-fares/elizabeth-line
docklands-light-railway,Docklands Light Railway,tfl-mode,tfl,england,appeal-service,https://www.ircas.co.uk,https://tfl.gov.uk/fares/penalty-fares-and-how-to-pay-them,"£100 on all six TfL modes, reduced to £50 if paid within 21 days of the notice being issued. After a failed stage-one appeal the £50 window re-opens for 21 days from the rejection letter, then reverts to £100.",Appeal at stage one within 21 days beginning the day after the DATE OF TRAVEL - not the notice date; stages two and three within 14 days of the date of the previous rejection letter. No decision deadline is published for any stage.,"Three policy stages, none of the first two independent of TfL: stage one is decided by the Independent Appeals Service (IAS/IRCAS), a contractor TfL says considers appeals on its behalf in accordance with TfL guidelines; stage two by the Appeals and Prosecutions Team in TfL's own Security, Policing and Enforcement directorate; stage three by the Independent Appeals Panel - appointed by TfL, required by the policy to work within TfL's regulations, policy and processes, and whose decision TfL states binds it.","Greater London Authority Act 1999, s.245 and Schedule 17 (as amended by the Transport for London Act 2008), administered under TfL's Penalty Fare Appeals Policy, version 11 (November 2025) - the policy is TfL's own document, not legislation.","TfL, ""Penalty fares and how to pay them""; TfL Penalty Fare Appeals Policy, version 11 (November 2025); Greater London Authority Act 1999, Schedule 17",https://www.catoappeals.com/penalty-fares/docklands-light-railway
london-trams,London Trams,tfl-mode,tfl,england,internal,not published,https://tfl.gov.uk/fares/penalty-fares-and-how-to-pay-them,"£100 on all six TfL modes, reduced to £50 if paid within 21 days of the notice being issued. After a failed stage-one appeal the £50 window re-opens for 21 days from the rejection letter, then reverts to £100.",Appeal at stage one within 21 days beginning the day after the DATE OF TRAVEL - not the notice date; stages two and three within 14 days of the date of the previous rejection letter. No decision deadline is published for any stage.,"Three policy stages. Stage one for trams is decided by Tram Operations Ltd, by post to Croydon - not by IRCAS; stage two by the Appeals and Prosecutions Team in TfL's own Security, Policing and Enforcement directorate; stage three by the Independent Appeals Panel - appointed by TfL, required by the policy to work within TfL's regulations, policy and processes, and whose decision TfL states binds it.","Greater London Authority Act 1999, s.245 and Schedule 17 (as amended by the Transport for London Act 2008), administered under TfL's Penalty Fare Appeals Policy, version 11 (November 2025) - the policy is TfL's own document, not legislation. The Croydon Tramlink (Penalty Fares) Order 2003 (SI 2003/1614) applies Schedule 17, modified, to London Trams - including replacement bus services.","TfL Penalty Fare Appeals Policy, version 11 (November 2025); The Croydon Tramlink (Penalty Fares) Order 2003 (SI 2003/1614); Greater London Authority Act 1999, Schedule 17",https://www.catoappeals.com/penalty-fares/london-trams
manchester-metrolink,Manchester Metrolink,tram,tram,england,internal,not published,https://tfgm.com/tickets-and-passes/refunds-and-penalty-fares/penalty-fares-on-tram/penalty-fare-notice,"£120 - Metrolink calls it a ""Standard Fare (Penalty Fare)"" (conditions of carriage, condition 7) - halved to £60 if paid within 14 days of receipt; the full amount is due within 21 days.","Appeal within 21 days of receiving the notice (the conditions of carriage put it at 21 days of issue). Metrolink says it aims to reply with a decision within 14 days - an aim, not a deadline.","One internal review only, run for TfGM by KAM Revenue Recovery. Metrolink states it accepts appeals only in exceptional circumstances; no external or independent stage exists.",Metrolink's own conditions of carriage (condition 7); the Metrolink byelaws are made under the Greater Manchester (Light Rapid Transit System) Acts 1988. Not SI 2018/366 and not the TfL scheme - neither applies here.,"TfGM, ""Penalty fare notice""",https://www.catoappeals.com/penalty-fares/manchester-metrolink
nottingham-express-transit,Nottingham Express Transit,tram,tram,england,internal,not published,https://www.thetram.net/penalty-fares,"£120, halved to £60 if paid within 14 days; a £30 administration charge is added if it is still unpaid after 22 days.",The appeal form must be completed within 22 days of the penalty being issued - the same 22-day window as paying in full before the £30 charge. No decision deadline is published.,"One internal review only. NET accepts appeals only in exceptional circumstances, or with evidence that a ticket for the whole journey was bought and completed before boarding; no external or independent stage exists.",NET's own published conditions and penalty fares process. Not SI 2018/366 and not the TfL scheme - neither applies here.,"NET, ""Penalty fares""",https://www.catoappeals.com/penalty-fares/nottingham-express-transit
west-midlands-metro,West Midlands Metro,tram,tram,england,internal,not published,https://www.westmidlandsmetro.com/about/legal/penalty-fare-appeals-process/,"West Midlands Metro's own documents disagree: £100 per its ticketing terms and conditions (halved if paid within 14 days, due within 28 days of issue), but £10 per its published penalty fares scheme document, citing s.5(1) of the Midland Metro (Penalty Fares) Act 1991. Both are its own publications; both are stated here.","Its documents disagree here too: appeal within 21 days beginning the day after issue per the scheme document, or at any point within the 28-day period per the terms and conditions. The safest reading is 21 days. The scheme document says a received appeal suspends the payment period until a decision is made, and promises a stage-one decision within 14 days.","Two internal stages: the Network Manager, then - within 14 days of a stage-one rejection - the Operator's Panel (the Head of Operations and the Metro Customer Services Manager), whose decision is final. Neither stage is independent of the operator.","Midland Metro (Penalty Fares) Act 1991, ss.4 and 5(1), and the operator's published appeals process and ticketing terms. Not SI 2018/366 and not the TfL scheme.","West Midlands Metro, ""Penalty fare appeals process""",https://www.catoappeals.com/penalty-fares/west-midlands-metro
sheffield-supertram,Sheffield Supertram,tram,tram,england,not published,not published,https://www.travelsouthyorkshire.com/en-GB/supertram/tickets-fares,"£10 (conditions of carriage, condition 10), payable on the tram or by post within 21 days beginning the day after the journey. No discount tier.",,"No appeal route is published anywhere in Supertram's conditions or on its site. The conditions provide only for payment, on the tram or by post within 21 days.",Conditions of carriage (condition 10); prosecution is reserved under the South Yorkshire Light Rail Transit Act 1989.,Supertram conditions of carriage (live host CAPTCHA-walled; conditions read via the Wayback Machine),https://www.catoappeals.com/penalty-fares/sheffield-supertram
