"code","description","plain_english","family","category","level","camera_enforceable","page"
"20","Parked in a part of a parking place marked by a yellow line where waiting is prohibited","Parked on a yellow line in a parking bay","waiting","on_street","higher","yes","https://www.catoappeals.com/pcn-codes/20-yellow-marking-in-bay"
"21","Parked wholly or partly in a suspended bay or space","Parked in a suspended bay","bay","on_street","higher","no","https://www.catoappeals.com/pcn-codes/21-78-suspended-bay"
"22","Re-parked in the same parking place or zone within one hour after leaving","Returned to the same bay too soon","payment","on_street","lower","yes","https://www.catoappeals.com/pcn-codes/22-return-within-an-hour"
"23","Parked in a parking place or area not designated for that class of vehicle","Wrong class of vehicle for the bay","bay","on_street","higher","no","https://www.catoappeals.com/pcn-codes/23-wrong-class-of-vehicle"
"24","Not parked correctly within the markings of the bay or space","Not parked inside the bay lines","bay","on_street","lower","no","https://www.catoappeals.com/pcn-codes/24-outside-bay-markings"
"25","Parked in a loading place or bay during restricted hours without loading","In a loading bay, not loading","loading","on_street","higher","no","https://www.catoappeals.com/pcn-codes/25-70-loading-bay"
"26","Parked in a special enforcement area more than 50 cm from the edge of the carriageway and not within a designated parking place","Parked over 50 cm from the kerb","pavement","on_street","higher","yes","https://www.catoappeals.com/pcn-codes/26-more-than-50cm-from-kerb"
"27","Parked in a special enforcement area adjacent to a footway cycle track or verge lowered to meet the level of the carriageway","Parked across a dropped kerb","pavement","on_street","higher","yes","https://www.catoappeals.com/pcn-codes/27-dropped-kerb"
"28","Parked in a special enforcement area on part of the carriageway raised to meet the level of a footway cycle track or verge","Parked on a raised crossing","pavement","on_street","higher","yes","https://www.catoappeals.com/pcn-codes/28-raised-crossing"
"29","Failing to comply with a one-way restriction","Went the wrong way in a one-way","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/29-one-way"
"30","Parked for longer than permitted","Stayed longer than allowed","payment","on_street","lower","yes","https://www.catoappeals.com/pcn-codes/30-80-overstay"
"31","Entering and stopping in a box junction when prohibited","Stopped in a box junction","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/31-box-junction"
"32","Failing to proceed in the direction shown by the arrow on a blue sign","Went against a blue sign arrow","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/32-blue-sign-arrow"
"33","Using a route restricted to certain vehicles","Used a restricted route","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/33-restricted-route"
"34","Being in a bus lane","Drove in a bus lane","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/34-bus-lane"
"35","Parked in a disc parking place without clearly displaying a valid disc","No valid disc in a disc parking bay","payment","on_street","lower","no","https://www.catoappeals.com/pcn-codes/35-disc-parking"
"36","Being in a mandatory cycle lane","Drove in a mandatory cycle lane","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/36-mandatory-cycle-lane"
"37","Failing to give way to oncoming vehicles","Failed to give way","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/37-failing-to-give-way"
"38","Failing to comply with a sign indicating that vehicular traffic must pass to the specified side of the sign","Passed the wrong side of a sign","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/38-keep-left-right-sign"
"40","Parked in a designated disabled person's parking place without displaying a valid disabled person's badge in the prescribed manner","In a disabled bay with no badge","bay","on_street","higher","no","https://www.catoappeals.com/pcn-codes/40-87-disabled-bay"
"41","Stopped in a parking place designated for diplomatic vehicles","Stopped in a diplomatic bay","bay","on_street","higher","no","https://www.catoappeals.com/pcn-codes/41-diplomatic-bay"
"42","Parked in a parking place designated for police vehicles","Parked in a police bay","bay","on_street","higher","no","https://www.catoappeals.com/pcn-codes/42-police-bay"
"43","Stopped on a cycle docking station parking place","Stopped on a cycle docking bay","bay","on_street","higher","no","https://www.catoappeals.com/pcn-codes/43-cycle-docking-station"
"45","Stopped on a taxi rank","Stopped on a taxi rank","bay","on_street","higher","no","https://www.catoappeals.com/pcn-codes/45-taxi-rank"
"46","Stopped where prohibited (on a red route or clearway)","Stopped on a red route","waiting","on_street","higher","yes","https://www.catoappeals.com/pcn-codes/46-red-route"
"47","Stopped on a restricted bus stop or stand","Stopped at a bus stop","waiting","on_street","higher","yes","https://www.catoappeals.com/pcn-codes/47-bus-stop"
"48","Stopped in a restricted area outside a school a hospital or a fire police or ambulance station when prohibited","Stopped on school or hospital zigzags","waiting","on_street","higher","conditional","https://www.catoappeals.com/pcn-codes/48-school-hospital-zigzags"
"49","Parked wholly or partly on a cycle track or lane","Parked on a cycle track or lane","waiting","on_street","higher","yes","https://www.catoappeals.com/pcn-codes/49-cycle-track"
"50","Performing a prohibited turn","Made a banned turn","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/50-prohibited-turn"
"51","Failing to comply with a no entry restriction","Drove past a no entry sign","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/51-no-entry"
"52","Failing to comply with a prohibition on certain types of vehicle","Vehicle type banned from the road","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/52-vehicle-type-banned"
"53","Failing to comply with a restriction on vehicles entering a pedestrian zone","Drove into a pedestrian zone","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/53-pedestrian-zone"
"54","Failing to comply with a restriction on vehicles entering and waiting in a pedestrian zone","Waited in a pedestrian zone","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/54-pedestrian-zone-waiting"
"55","A commercial vehicle parked in a restricted street in contravention of the Overnight Waiting Ban","Broke the overnight waiting ban","waiting","on_street","higher","yes","https://www.catoappeals.com/pcn-codes/55-overnight-waiting-ban"
"56","Parked in contravention of a commercial vehicle waiting restriction","Broke a commercial vehicle ban","waiting","on_street","higher","no","https://www.catoappeals.com/pcn-codes/56-commercial-vehicle-restriction"
"57","Parked in contravention of a bus ban","Parked against a bus ban","waiting","on_street","higher","no","https://www.catoappeals.com/pcn-codes/57-bus-ban"
"58","Using a vehicle on a restricted street during prescribed hours without a valid permit","On a restricted street, no permit","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/58-lorry-control-no-permit"
"59","Using a vehicle on a restricted street during prescribed hours in breach of permit conditions","Broke your lorry permit conditions","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/59-lorry-control-permit-breach"
"61","A heavy commercial vehicle wholly or partly parked on a footway verge or land between two carriageways","Lorry parked on a footway or verge","pavement","on_street","higher","yes","https://www.catoappeals.com/pcn-codes/61-hgv-footway"
"62","Parked with one or more wheels on or over a footpath or any part of a road other than a carriageway","Parked on the pavement","pavement","on_street","higher","yes","https://www.catoappeals.com/pcn-codes/62-pavement-parking"
"63","Parked with engine running where prohibited","Left your engine running","bay","on_street","lower","no","https://www.catoappeals.com/pcn-codes/63-96-engine-idling"
"64","Parked in contravention of a notice prohibiting leaving vehicles on a grass verge garden lawn or green maintained by a local authority","Parked on a grass verge","pavement","on_street","n_a","no","https://www.catoappeals.com/pcn-codes/64-grass-verge"
"65","Parked in contravention of a notice prohibiting leaving vehicles on land laid out as a public garden or used for the purpose of public recreation","Parked on a public garden","pavement","on_street","n_a","no","https://www.catoappeals.com/pcn-codes/65-public-garden"
"66","Parked on a verge central reservation or footway comprised in an urban road","Parked on an urban road verge","pavement","on_street","n_a","no","https://www.catoappeals.com/pcn-codes/66-urban-road-verge"
"67","Using a vehicle on a restricted street without a valid HGV Safety Permit","No HGV Safety Permit","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/67-hgv-safety-permit"
"68","Using a vehicle on a restricted street in breach of HGV Safety Permit conditions","Broke HGV Safety Permit terms","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/68-hgv-safety-permit-conditions"
"70","Parked in a loading place or bay during restricted hours without loading","In a loading bay, not loading","loading","off_street","higher","no","https://www.catoappeals.com/pcn-codes/25-70-loading-bay"
"71","Parked in an electric vehicles' charging place during restricted hours without charging","In an EV charging bay, not charging","bay","off_street","higher","no","https://www.catoappeals.com/pcn-codes/14-71-ev-charging-bay"
"73","Parked without payment of the parking charge","Parked without paying","payment","off_street","lower","no","https://www.catoappeals.com/pcn-codes/11-73-no-payment"
"74","Using a vehicle in a parking place in connection with the sale or offering or exposing for sale of goods when prohibited","Selling goods from your vehicle","bay","off_street","higher","no","https://www.catoappeals.com/pcn-codes/18-74-selling-goods"
"78","Parked wholly or partly in a suspended bay or space","Parked in a suspended bay","bay","off_street","higher","no","https://www.catoappeals.com/pcn-codes/21-78-suspended-bay"
"80","Parked for longer than permitted","Stayed longer than allowed","payment","off_street","lower","no","https://www.catoappeals.com/pcn-codes/30-80-overstay"
"81","Parked in a restricted area in an off-street car park or housing estate","In a restricted area of a car park","bay","off_street","higher","no","https://www.catoappeals.com/pcn-codes/81-car-park-restricted-area"
"82","Parked after the expiry of paid for time","Stayed after paid time ran out","payment","off_street","lower","no","https://www.catoappeals.com/pcn-codes/05-82-expired-ticket"
"83","Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock","No ticket shown in a car park","payment","off_street","lower","no","https://www.catoappeals.com/pcn-codes/83-car-park-no-ticket"
"84","Parked with payment made to extend the stay beyond initial time","Topped up to stay longer","payment","off_street","lower","no","https://www.catoappeals.com/pcn-codes/07-84-meter-feeding"
"85","Parked without a valid virtual permit or clearly displaying a valid physical permit where required","No permit in a car park permit bay","permit","off_street","higher","no","https://www.catoappeals.com/pcn-codes/85-car-park-no-permit"
"86","Not parked correctly within the markings of a bay or space","Outside the bay lines in a car park","bay","off_street","lower","no","https://www.catoappeals.com/pcn-codes/86-car-park-bay-markings"
"87","Parked in a designated disabled person's parking place without displaying a valid disabled person's badge in the prescribed manner","In a disabled bay with no badge","bay","off_street","higher","no","https://www.catoappeals.com/pcn-codes/40-87-disabled-bay"
"89","Vehicle parked exceeds maximum weight or height or length permitted","Over the car park's size limit","bay","off_street","higher","no","https://www.catoappeals.com/pcn-codes/89-oversized-vehicle"
"90","Re-parked in the same car park within one hour after leaving","Returned to the car park too soon","payment","off_street","lower","no","https://www.catoappeals.com/pcn-codes/90-car-park-return-within-an-hour"
"91","Parked in a car park or area not designated for that class of vehicle","Wrong class of vehicle for the car park","bay","off_street","higher","no","https://www.catoappeals.com/pcn-codes/91-car-park-wrong-class"
"92","Parked causing an obstruction","Caused an obstruction in a car park","bay","off_street","higher","no","https://www.catoappeals.com/pcn-codes/92-car-park-obstruction"
"93","Parked in car park when closed","Parked in a closed car park","payment","off_street","lower","no","https://www.catoappeals.com/pcn-codes/93-car-park-closed"
"94","Parked in a pay & display car park without clearly displaying two valid pay and display tickets when required","One ticket in a car park, two needed","payment","off_street","lower","no","https://www.catoappeals.com/pcn-codes/94-car-park-two-tickets"
"95","Parked in a parking place for a purpose other than that designated","Used a parking place for the wrong purpose","bay","off_street","lower","no","https://www.catoappeals.com/pcn-codes/95-wrong-purpose"
"96","Parked with engine running where prohibited","Left your engine running","bay","off_street","lower","no","https://www.catoappeals.com/pcn-codes/63-96-engine-idling"
"97","Driving a motor vehicle in an unrestricted street in excess of the posted speed limit","Went over the speed limit","moving","moving_traffic","n_a","yes","https://www.catoappeals.com/pcn-codes/97-speed-limit"
"99","Stopped on a pedestrian crossing or crossing area marked by zigzags","Stopped on a pedestrian crossing","waiting","on_street","higher","no","https://www.catoappeals.com/pcn-codes/99-pedestrian-crossing"
